sentence,category
ත්‍රීවීල් salli 39310,Transport
slt bill 8881,Utilities
season 45435,Transport
fare Rs.22717,Transport
24368 pocket money,Other
ඩොක්ටර්ට 5003,Health
gas salli 37784,Utilities
skincare 37226,Personal Care
donation salli 22038,Gifts & Charity
office go Rs.44647,Transport
rice bag salli 49980,Shopping
බෙහෙත් වලට 12455,Health
ට්‍රිප් salli 18725,Entertainment
30368 medicine,Health
credit card 16001,Finance
පින් වලට salli 9252,Gifts & Charity
general 24619,Other
taxi Rs.37199,Transport
gaming 46554,Entertainment
supermarket salli 30461,Shopping
ආධාර Rs.28823,Gifts & Charity
ticket 41409,Transport
12295 other,Other
keells Rs.25028,Shopping
1336 vegetables,Shopping
කොණ්ඩය කැපුවා 49906,Personal Care
fuel 23878,Transport
workshop Rs.2249,Education
transport cost salli 17424,Transport
6204 වෙනත්,Other
14924 soap,Personal Care
show Rs.39653,Entertainment
tshirt Rs.18183,Shopping
misc 9206,Other
insurance Rs.30187,Finance
operation Rs.37423,Health
අතමාරු ගත්තා Rs.33770,Finance
ලයිට් බිල salli 29259,Utilities
25810 vehicle repair,Transport
netflix salli 27095,Entertainment
poth 13391,Education
concert salli 26651,Entertainment
නිකම්ම 31643,Other
13853 medical test,Health
street food salli 22440,Food
12618 shoppin,Shopping
45903 ෆිල්ම්,Entertainment
lost salli 16199,Other
9466 poth,Education
general salli 5053,Other
20151 vitamin,Health
16122 rice,Food
bus salli 37551,Transport
medicine 23111,Health
පෑන් පැන්සල් Rs.44343,Education
netflix salli 24490,Entertainment
ayurvedic 2593,Health
biscuit 41958,Food
snacks 40626,Food
other Rs.35276,Other
bag Rs.34626,Shopping
party Rs.12597,Entertainment
35995 library,Education
පින් වලට 27598,Gifts & Charity
workshop Rs.48330,Education
44893 ආධාර,Gifts & Charity
පෑන් පැන්සල් salli 35119,Education
fuel Rs.34184,Transport
cool drink salli 32185,Food
6580 pharmacy,Health
34116 match ticket,Entertainment
perfume 49805,Personal Care
clothes salli 12429,Shopping
hair cut salli 17706,Personal Care
lost Rs.7857,Other
fitness 36920,Health
හොස්පිට්ල් 40759,Health
religious salli 41743,Gifts & Charity
39209 බත්,Food
1582 lost,Other
shampoo salli 14617,Shopping
පෙට්‍රල් 26508,Transport
tuition Rs.42287,Education
don't know salli 43227,Other
3077 outing,Entertainment
අතමාරුව salli 47809,Finance
26870 කෝස් එකට,Education
watch Rs.15312,Shopping
bank fee Rs.3803,Finance
25640 vitamin,Health
wedding salli 45781,Gifts & Charity
11119 loan,Finance
recharge 40026,Utilities
vegetables salli 27562,Shopping
doctor salli 20977,Health
23117 hospital,Health
බෙහෙත් වලට salli 43801,Health
reload Rs.15720,Utilities
youtube premium salli 4920,Entertainment
කොණ්ඩය කැපුවා 10919,Personal Care
spent Rs.47867,Other
තේ බොන්න salli 30407,Food
විනෝදෙට 12734,Entertainment
train Rs.46797,Transport
short eats 5708,Food
gaming Rs.3105,Entertainment
තෙල් Rs.39188,Transport
24646 auto,Transport
spotify salli 36383,Entertainment
unknown 26703,Other
fare Rs.25522,Transport
clothes 49343,Shopping
insurance salli 41800,Finance
11799 furniture,Shopping
party Rs.17226,Entertainment
බර්ත්ඩේ salli 29659,Gifts & Charity
body lotion Rs.34331,Personal Care
alms salli 48777,Gifts & Charity
18385 gas,Utilities
milk powder Rs.39609,Shopping
medicine Rs.41916,Health
33812 leasing,Finance
hair cut Rs.28156,Personal Care
35912 cool drink,Food
outing Rs.4817,Entertainment
vitamin salli 33468,Health
38240 පෙට්‍රල්,Transport
degree 61,Education
9688 අතමාරු ගත්තා,Finance
11523 finance,Finance
43346 streaming,Entertainment
watch Rs.22637,Shopping
bag salli 16752,Shopping
cinema 32440,Entertainment
13318 class fee,Education
leasing Rs.34324,Finance
finance 19716,Finance
spa Rs.7456,Personal Care
hair cut 13288,Personal Care
broadband Rs.37660,Utilities
dhal Rs.34169,Shopping
course Rs.12503,Education
ආධාර 46439,Gifts & Charity
tire change Rs.36446,Transport
7277 rice,Food
තෙල් Rs.6295,Transport
නිකම්ම 27062,Other
46603 vacation,Entertainment
cash salli 13917,Other
pocket money Rs.5426,Other
hoppers Rs.24718,Food
general 23546,Other
ayurvedic salli 31440,Health
eye check 23735,Health
hutch 25488,Utilities
20229 kitchen items,Shopping
12395 trip,Entertainment
lab 40465,Health
skincare Rs.49792,Personal Care
uber 36725,Transport
facewash Rs.2219,Personal Care
crypto salli 37633,Finance
channeling Rs.10866,Health
vacation Rs.41563,Entertainment
religious 310,Gifts & Charity
2499 bike service,Transport
birthday Rs.37871,Gifts & Charity
club salli 14439,Entertainment
youtube premium 31975,Entertainment
panthi Rs.48431,Education
kottu 7668,Food
වෙනත් Rs.18510,Other
meat salli 29109,Shopping
vehicle repair 24407,Transport
36495 නයි පියවන්න,Finance
34016 මුදල්,Other
dental 25140,Health
දවල් කෑමට Rs.48047,Food
concert 25167,Entertainment
train 28028,Transport
netflix salli 19258,Entertainment
makeup Rs.38154,Personal Care
concert Rs.47430,Entertainment
lost salli 34518,Other
beheth salli 38124,Health
trimming Rs.13589,Personal Care
පින් වලට salli 687,Gifts & Charity
gaming 24421,Entertainment
19530 doctor,Health
doctor 5234,Health
class fee Rs.32145,Education
subway Rs.48554,Food
මුදල් Rs.47606,Other
parking Rs.545,Transport
704 keells,Shopping
highway toll salli 23309,Transport
නයි පියවන්න Rs.25127,Finance
panthi Rs.10127,Education
22448 unknown,Other
panthi 46609,Education
clinic 20105,Health
offer Rs.38797,Gifts & Charity
පොත් වලට Rs.12061,Education
udemy salli 7747,Education
unknown Rs.13468,Other
taxi salli 35254,Transport
facewash 15735,Personal Care
other salli 30321,Other
daraz salli 38497,Shopping
විනෝදෙට salli 23753,Entertainment
45748 gift,Gifts & Charity
library salli 24157,Education
investment 42272,Finance
9783 medical test,Health
offer salli 41731,Gifts & Charity
credit card 44540,Finance
beach salli 15254,Entertainment
lunch Rs.40439,Food
panadol Rs.43076,Health
15634 කෑම,Food
interest salli 10898,Finance
13374 pocket money,Other
trimming salli 32758,Personal Care
34405 course,Education
6973 dinner,Food
dentist 38795,Health
29111 class fee,Education
gift salli 29544,Gifts & Charity
diesel 19804,Transport
මේකප් 27474,Personal Care
library salli 32724,Education
32885 බිල් එකට,Utilities
doctor 35260,Health
5396 breakfast,Food
21162 offer,Gifts & Charity
පෙට්‍රල් Rs.46306,Transport
payment salli 43793,Finance
14043 පන්ති ගාස්තු,Education
library Rs.33912,Education
youtube premium 16124,Entertainment
බස් එකට salli 45782,Transport
pizza Rs.1996,Food
netflix Rs.19873,Entertainment
42633 don't know,Other
විනෝදෙට salli 39733,Entertainment
10276 insurance,Finance
4100 youtube premium,Entertainment
වතුර බිල salli 11187,Utilities
27461 පින් වලට,Gifts & Charity
20043 dhal,Shopping
කෝච්චියට Rs.34462,Transport
23610 interest,Finance
stationary 13497,Education
අතමාරු ගත්තා 26760,Finance
bill 250,Utilities
25482 වතුර බිල,Utilities
coursera salli 19747,Education
beer 15586,Entertainment
fuel Rs.42140,Transport
parking salli 41379,Transport
supermarket Rs.43333,Shopping
රෑ කෑම salli 9198,Food
pin 40833,Gifts & Charity
rice and curry 45196,Food
1522 finance,Finance
trip salli 7265,Entertainment
birthday 4901,Gifts & Charity
13967 data,Utilities
meat salli 43233,Shopping
credit card 45153,Finance
නයි පියවන්න salli 28889,Finance
concert Rs.44442,Entertainment
14321 පින් වලට,Gifts & Charity
stock salli 970,Finance
hotel bill 35457,Food
charity Rs.7825,Gifts & Charity
sugar 9398,Shopping
hospital Rs.27842,Health
shoes Rs.8446,Shopping
car wash salli 36089,Transport
snacks 28310,Food
offer salli 31548,Gifts & Charity
outing 42779,Entertainment
supermarket Rs.48925,Shopping
34638 credit card,Finance
නිකම්ම Rs.24204,Other
spotify Rs.20027,Entertainment
soap 12953,Personal Care
club 33283,Entertainment
පින් වලට Rs.48195,Gifts & Charity
parking Rs.46164,Transport
party Rs.49659,Entertainment
show salli 41157,Entertainment
13912 current bill,Utilities
degree salli 7418,Education
home rent Rs.6595,Utilities
birthday Rs.23116,Gifts & Charity
reload salli 7419,Utilities
trimming 49360,Personal Care
27463 perfume,Personal Care
spent salli 2731,Other
fare salli 32735,Transport
misc Rs.43954,Other
present Rs.16214,Gifts & Charity
23610 makeup,Personal Care
4244 match ticket,Entertainment
data Rs.36081,Utilities
11006 beauty,Personal Care
coursera salli 47834,Education
49744 පින් වලට,Gifts & Charity
33783 hoppers,Food
outing 24134,Entertainment
38171 interest,Finance
pharmacy salli 48097,Health
ත්‍රීවීල් 8152,Transport
ට්‍රිප් salli 14736,Entertainment
body lotion Rs.9387,Personal Care
pin 38397,Gifts & Charity
40506 ලයිට් බිල,Utilities
ත්‍රීවීල් salli 46713,Transport
180 බත්,Food
24274 milk powder,Shopping
fare 11958,Transport
unknown 44959,Other
42405 don't know,Other
25153 poth,Education
20908 wedding,Gifts & Charity
beheth 32744,Health
ට්‍රිප් salli 44049,Entertainment
crypto salli 44858,Finance
dental salli 38161,Health
dansal Rs.49288,Gifts & Charity
කෝස් එකට salli 29405,Education
loan salli 37427,Finance
cash 40372,Other
5150 furniture,Shopping
alms salli 35576,Gifts & Charity
27053 present,Gifts & Charity
short eats salli 45309,Food
other 34684,Other
soap 12054,Personal Care
දවල් කෑමට Rs.21173,Food
panadol salli 4289,Health
dentist salli 3796,Health
shaving 20195,Personal Care
මුදල් Rs.45573,Other
ෆිල්ම් Rs.49535,Entertainment
32972 spa,Personal Care
party Rs.17856,Entertainment
ණය Rs.38444,Finance
arpico salli 36509,Shopping
23497 course,Education
7234 ලයිට් බිල,Utilities
fitness 43310,Health
බර්ත්ඩේ salli 42729,Gifts & Charity
කොණ්ඩය කැපුවා 8845,Personal Care
cargills salli 377,Shopping
club salli 45440,Entertainment
outing salli 32475,Entertainment
beach salli 8786,Entertainment
විනෝදෙට salli 26721,Entertainment
තෙල් salli 983,Transport
ආධාර Rs.31123,Gifts & Charity
mobitel salli 22380,Utilities
wedding Rs.8731,Gifts & Charity
45176 vehicle repair,Transport
rice and curry salli 24640,Food
23271 party,Entertainment
operation salli 29252,Health
lab 29796,Health
meat salli 481,Shopping
pen and paper 11865,Education
body lotion Rs.22039,Personal Care
මේකප් Rs.19231,Personal Care
දානය Rs.18512,Gifts & Charity
show salli 41226,Entertainment
ඩොක්ටර්ට Rs.29360,Health
34906 other,Other
pharmacy 31549,Health
exam fee salli 47612,Education
බර්ත්ඩේ 49373,Gifts & Charity
වෙනත් Rs.45843,Other
බෙහෙත් වලට salli 21743,Health
helping 29954,Gifts & Charity
cash salli 47500,Other
liquor 31208,Entertainment
පින් වලට salli 1373,Gifts & Charity
ලෝන් එකට Rs.18307,Finance
කෝස් එකට 33647,Education
operation salli 15290,Health
leasing Rs.49986,Finance
internet Rs.19134,Utilities
crypto salli 37211,Finance
course 33402,Education
bag salli 26424,Shopping
ඩොක්ටර්ට Rs.33822,Health
garbage fee 10061,Utilities
මේකප් Rs.22433,Personal Care
wedding Rs.4762,Gifts & Charity
class fee Rs.32078,Education
23026 rice,Food
hospital salli 23292,Health
bill 14516,Utilities
soap salli 1077,Personal Care
ණය Rs.29108,Finance
other 11789,Other
41078 adventure,Entertainment
insurance salli 21013,Finance
club Rs.7662,Entertainment
5675 panthi,Education
drink 12630,Food
other 25169,Other
සෙල්ලම් කරන්න 23820,Entertainment
21457 අතින් ගියා,Other
30496 නයි පියවන්න,Finance
15143 uber,Transport
lunch Rs.23074,Food
pants salli 13625,Shopping
car wash 15266,Transport
diesel salli 49501,Transport
degree salli 44984,Education
සැලෝන් එකට salli 28649,Personal Care
fuel Rs.13242,Transport
class fee Rs.27206,Education
medical test 8912,Health
විභාග ගාස්තු Rs.28751,Education
906 pocket money,Other
15746 book,Education
charity Rs.8936,Gifts & Charity
27980 arpico,Shopping
17894 cash,Other
9999 bill,Utilities
unknown 25362,Other
කොණ්ඩය කැපුවා Rs.13281,Personal Care
හොස්පිට්ල් salli 17405,Health
27782 bag,Shopping
41567 petrol,Transport
rice bag Rs.38995,Shopping
soap Rs.44421,Shopping
current bill Rs.14706,Utilities
vitamin 32694,Health
4183 hutch,Utilities
39195 broadband,Utilities
නයි පියවන්න salli 44983,Finance
beach salli 26889,Entertainment
hair cut salli 8098,Personal Care
20148 online course,Education
leasing salli 9943,Finance
dental 41197,Health
hoppers 46146,Food
tuition 30274,Education
පොත් වලට salli 518,Education
තෑගි 6626,Gifts & Charity
cargills Rs.41281,Shopping
loan 38683,Finance
bakery salli 38290,Food
movie Rs.30153,Entertainment
17384 parking,Transport
ticket 49319,Transport
spent 18950,Other
party 8697,Entertainment
23803 highway toll,Transport
hair cut salli 5870,Personal Care
20274 credit card,Finance
barber Rs.13079,Personal Care
sugar Rs.10254,Shopping
liquor salli 45324,Entertainment
මේකප් salli 35846,Personal Care
lab Rs.20818,Health
keells salli 23208,Shopping
ඇඳුම් ගත්තා 3747,Shopping
26676 wade,Food
beauty 30138,Personal Care
lost 629,Other
data 49754,Utilities
21753 tax,Finance
spent Rs.40958,Other
අතමාරු ගත්තා salli 33555,Finance
දානය Rs.21121,Gifts & Charity
kottu salli 21497,Food
adventure salli 7237,Entertainment
hair color 39506,Personal Care
interest salli 46136,Finance
reload 19812,Utilities
spa Rs.27288,Personal Care
phone bill 32913,Utilities
uber Rs.35240,Transport
cash 6520,Other
පෑන් පැන්සල් Rs.33765,Education
coursera salli 27824,Education
alms salli 16814,Gifts & Charity
නයි පියවන්න salli 9662,Finance
හොස්පිට්ල් salli 29627,Health
සැලෝන් එකට salli 1306,Personal Care
පින් වලට Rs.25931,Gifts & Charity
kema Rs.25237,Food
bag 1351,Shopping
wifi Rs.869,Utilities
bakery Rs.23236,Food
coursera Rs.26552,Education
udemy 33208,Education
cinema salli 46816,Entertainment
පොත් වලට 9153,Education
ජිම් එකට Rs.23337,Personal Care
birthday Rs.10930,Gifts & Charity
barber salli 29347,Personal Care
highway toll 18237,Transport
33073 course,Education
shaving Rs.31725,Personal Care
shoes Rs.4849,Shopping
38560 trimming,Personal Care
නයි පියවන්න salli 10729,Finance
2524 rice bag,Shopping
4220 spa,Personal Care
finance salli 26521,Finance
fare 22623,Transport
3919 beheth,Health
birthday Rs.15533,Gifts & Charity
vegetables Rs.43291,Shopping
facewash salli 40877,Personal Care
6987 workshop,Education
25245 skincare,Personal Care
41640 phone bill,Utilities
36792 ණය,Finance
coursera 38094,Education
බනිස් 3867,Food
auto salli 35336,Transport
අතමාරුව Rs.46783,Finance
21619 insurance,Finance
water bill Rs.10436,Utilities
අතින් ගියා salli 27496,Other
train salli 12946,Transport
pocket money Rs.17217,Other
බර්ත්ඩේ salli 11229,Gifts & Charity
subway Rs.12244,Food
shoes salli 11728,Shopping
operation 47978,Health
general Rs.25491,Other
dinner Rs.18562,Food
ඇඳුම් ගත්තා 20829,Shopping
32389 gaming,Entertainment
subway salli 2564,Food
vacation Rs.3157,Entertainment
කොණ්ඩය කැපුවා 21096,Personal Care
43320 vitamin,Health
36826 tshirt,Shopping
විනෝදෙට Rs.37491,Entertainment
broadband 48467,Utilities
interest 48173,Finance
37414 misc,Other
beach 16252,Entertainment
dialog 10778,Utilities
පන්ති ගාස්තු 21279,Education
birthday Rs.43328,Gifts & Charity
breakfast 24235,Food
season Rs.13509,Transport
spent 32375,Other
මේකප් Rs.8828,Personal Care
මේකප් salli 734,Personal Care
stock salli 9309,Finance
panthi salli 3721,Education
shampoo Rs.29656,Shopping
doctor 7685,Health
donation salli 29955,Gifts & Charity
game Rs.46084,Entertainment
bank fee Rs.2871,Finance
cash Rs.47020,Other
dhal Rs.6331,Shopping
pocket money 41368,Other
wade Rs.34360,Food
highway toll salli 16281,Transport
transport cost Rs.39102,Transport
salon Rs.46924,Personal Care
show 40020,Entertainment
40418 pickme food,Food
9413 cash,Other
religious Rs.28941,Gifts & Charity
39914 ලයිට් බිල,Utilities
11102 facewash,Personal Care
බඩු ගත්තා salli 14618,Shopping
pin 36618,Gifts & Charity
salon 11790,Personal Care
18281 අතමාරු ගත්තා,Finance
internet salli 31923,Utilities
15367 snacks,Food
ubereats salli 7898,Food
watch Rs.38965,Shopping
cinema Rs.15897,Entertainment
investment Rs.6239,Finance
health insurance salli 10250,Health
postpaid Rs.5062,Utilities
hoppers salli 34969,Food
hospital 387,Health
5525 grocery,Shopping
මේකප් Rs.49733,Personal Care
supermarket salli 17290,Shopping
34103 රෑ කෑම,Food
medicine Rs.37306,Health
tuition salli 34785,Education
නිකම්ම salli 9382,Other
credit card Rs.41693,Finance
garbage fee salli 7234,Utilities
tuk salli 36235,Transport
netflix 21485,Entertainment
දානය 25501,Gifts & Charity
mobitel salli 31007,Utilities
crypto Rs.32453,Finance
home rent Rs.22268,Utilities
තේ බොන්න 5989,Food
37092 beach,Entertainment
46914 adventure,Entertainment
31952 trimming,Personal Care
pin 46701,Gifts & Charity
dentist Rs.29894,Health
physio salli 12228,Health
සැලෝන් එකට Rs.715,Personal Care
25182 pharmacy,Health
25221 ෆිල්ම්,Entertainment
vehicle repair 28935,Transport
panadol 10966,Health
14206 adventure,Entertainment
movie salli 30064,Entertainment
rice bag 46950,Shopping
fuel 38025,Transport
shoppin salli 535,Shopping
spent 29745,Other
threewheel Rs.49191,Transport
ඩිසල් Rs.27962,Transport
pin salli 32866,Gifts & Charity
kitchen items 48433,Shopping
46972 loan,Finance
8506 fuel,Transport
course salli 42528,Education
beauty salli 23453,Personal Care
46372 pocket money,Other
spent Rs.36420,Other
bag Rs.17005,Shopping
18836 furniture,Shopping
19158 වෙනත්,Other
කඩෙන් කෑවා salli 43165,Food
pocket money salli 42479,Other
pickme food salli 25550,Food
මුදල් Rs.28900,Other
trimming Rs.42133,Personal Care
beer salli 8582,Entertainment
45687 breakfast,Food
pen and paper 35240,Education
other salli 40846,Other
stock Rs.21686,Finance
body lotion Rs.32019,Personal Care
ඉන්ෂුවරන්ස් Rs.22000,Finance
30355 මුදල්,Other
pocket money 47142,Other
cash Rs.39195,Other
බිල් එකට Rs.2015,Utilities
36295 අතමාරුව,Finance
31003 pickme,Transport
rice and curry Rs.31336,Food
fiber salli 31377,Utilities
lost salli 44294,Other
36034 දානය,Gifts & Charity
daraz 15210,Shopping
ෆිල්ම් Rs.1773,Entertainment
32275 car wash,Transport
loan salli 46619,Finance
18233 daraz,Shopping
recharge salli 43762,Utilities
ලෝන් එකට salli 10703,Finance
සපත්තු salli 15763,Shopping
29865 ලයිට් බිල,Utilities
beer salli 1544,Entertainment
shoppin 9253,Shopping
perfume salli 48949,Personal Care
බස් එකට Rs.16465,Transport
trimming Rs.14257,Personal Care
නයි පියවන්න 17273,Finance
සපත්තු Rs.39379,Shopping
medicine Rs.25058,Health
subway salli 40496,Food
මේකප් 26894,Personal Care
class fee salli 27720,Education
stationary salli 22447,Education
burger Rs.47848,Food
highway toll 19592,Transport
season salli 44053,Transport
stationary salli 49609,Education
adventure 13363,Entertainment
cool drink Rs.3765,Food
home rent Rs.46494,Utilities
train Rs.5876,Transport
19161 rice and curry,Food
spa Rs.46072,Personal Care
tea 44117,Food
ඇඳුම් ගත්තා 39038,Shopping
ආධාර 400,Gifts & Charity
ණය 15036,Finance
6168 රීලෝඩ්,Utilities
37282 home rent,Utilities
hutch Rs.48326,Utilities
23983 water bill,Utilities
පොත් වලට 45125,Education
bill Rs.31783,Utilities
unknown salli 37142,Other
pen and paper Rs.6944,Education
other 46109,Other
කෑම 26229,Food
44196 fare,Transport
tshirt Rs.45204,Shopping
cash Rs.30857,Other
panthi 9892,Education
facewash salli 11255,Personal Care
clinic 37599,Health
13638 ayurvedic,Health
46906 concert,Entertainment
milk powder Rs.23224,Shopping
21967 udemy,Education
sugar 44176,Shopping
coffee Rs.24853,Food
12217 keells,Shopping
ආධාර salli 22862,Gifts & Charity
අතමාරුව Rs.46712,Finance
leasing Rs.30622,Finance
ticket Rs.38490,Transport
සපත්තු 18520,Shopping
gas Rs.9205,Utilities
fitness 36578,Health
3416 breakfast,Food
leasing 46811,Finance
garbage fee 7011,Utilities
tire change salli 28559,Transport
cash salli 31824,Other
40751 tax,Finance
health insurance salli 30855,Health
22968 book,Education
don't know Rs.33251,Other
46986 gift,Gifts & Charity
dentist Rs.45378,Health
medical test Rs.34557,Health
hospital 9835,Health
panthi Rs.25228,Education
taxi Rs.32458,Transport
data Rs.18825,Utilities
36682 පන්ති ගාස්තු,Education
1545 වෙනත්,Other
broadband salli 14592,Utilities
12992 show,Entertainment
2717 spa,Personal Care
watch salli 32889,Shopping
අතින් ගියා salli 13917,Other
දවල් කෑමට Rs.5488,Food
අතමාරුව 17867,Finance
3543 meat,Shopping
ඇඳුම් ගත්තා salli 5116,Shopping
tshirt salli 13918,Shopping
beach salli 33028,Entertainment
credit card Rs.11574,Finance
pizza salli 36763,Food
30483 tire change,Transport
බනිස් Rs.25227,Food
42311 කොණ්ඩය කැපුවා,Personal Care
දානය Rs.18843,Gifts & Charity
49185 data,Utilities
ෆාමසි salli 5573,Health
10579 අතමාරු ගත්තා,Finance
කොත්තු salli 12432,Food
charity salli 25432,Gifts & Charity
sugar salli 37332,Shopping
pocket money salli 31597,Other
biscuit salli 30108,Food
8271 පොත් වලට,Education
operation Rs.23761,Health
club 5957,Entertainment
5327 clothes,Shopping
shaving salli 32907,Personal Care
highway toll 18904,Transport
netflix 39131,Entertainment
arpico salli 44894,Shopping
panthi salli 10700,Education
25019 watch,Shopping
lost salli 48,Other
සැලෝන් එකට 984,Personal Care
show Rs.36102,Entertainment
class fee 31057,Education
university Rs.45408,Education
snacks Rs.16896,Food
33273 පොත් වලට,Education
trimming Rs.1941,Personal Care
4880 birthday,Gifts & Charity
vehicle repair 24988,Transport
ලෝන් එකට 24972,Finance
present Rs.21444,Gifts & Charity
gym salli 166,Personal Care
milk powder salli 14462,Shopping
පෑන් පැන්සල් 18066,Education
lost salli 43184,Other
28730 body lotion,Personal Care
තෙල් 1629,Transport
salon 29725,Personal Care
18301 රීලෝඩ්,Utilities
shaving Rs.35619,Personal Care
මුදල් 38315,Other
eye check Rs.40514,Health
මුදල් salli 28785,Other
තේ බොන්න Rs.44590,Food
spa Rs.11483,Personal Care
hotel bill salli 45039,Food
cargills 30076,Shopping
46933 book,Education
26543 makeup,Personal Care
බෙහෙත් වලට Rs.25547,Health
වතුර බිල Rs.2826,Utilities
27362 pickme food,Food
5537 කෑම,Food
youtube premium salli 28006,Entertainment
misc salli 9287,Other
ජිම් එකට salli 8614,Personal Care
cash 35918,Other
fiber 25910,Utilities
degree 20908,Education
keells 8559,Shopping
general salli 42860,Other
match ticket 28100,Entertainment
water bill 7953,Utilities
23143 furniture,Shopping
show Rs.23831,Entertainment
cool drink 17025,Food
bag 38669,Shopping
hair cut 34126,Personal Care
physio salli 37348,Health
shaving salli 17449,Personal Care
other salli 3900,Other
pants 54,Shopping
barber 43650,Personal Care
grocery 11585,Shopping
ticket salli 19479,Transport
snacks salli 24862,Food
udemy salli 271,Education
4457 gift,Gifts & Charity
tshirt 6938,Shopping
tuition salli 23039,Education
ඉන්ෂුවරන්ස් Rs.4245,Finance
religious 29159,Gifts & Charity
4432 university,Education
මුදල් Rs.10789,Other
bill salli 16488,Utilities
netflix salli 44564,Entertainment
4811 මුදල්,Other
liquor Rs.22405,Entertainment
recharge salli 48330,Utilities
48897 පෙට්‍රල්,Transport
payment Rs.18367,Finance
season 6965,Transport
degree salli 45942,Education
helping Rs.35312,Gifts & Charity
33173 finance,Finance
trimming 24433,Personal Care
pen and paper Rs.37917,Education
34728 misc,Other
tire change 44622,Transport
medicine Rs.24815,Health
daraz 9331,Shopping
සැලෝන් එකට salli 9063,Personal Care
14089 leasing,Finance
අතින් ගියා Rs.7049,Other
biscuit 6754,Food
ෆාමසි salli 14397,Health
threewheel salli 41649,Transport
4517 car wash,Transport
leasing salli 20367,Finance
degree salli 16979,Education
transport cost Rs.48562,Transport
clinic 48136,Health
8365 crypto,Finance
ලෝන් එකට Rs.38595,Finance
phone bill Rs.37695,Utilities
47401 soap,Personal Care
stationary salli 23976,Education
outing 26894,Entertainment
13699 ඉන්ෂුවරන්ස්,Finance
31755 club,Entertainment
drink Rs.24954,Food
petrol Rs.33585,Transport
charity Rs.19547,Gifts & Charity
panthi salli 12888,Education
restaurant salli 43997,Food
beer salli 14281,Entertainment
crypto 2388,Finance
47312 makeup,Personal Care
වෙනත් salli 22709,Other
eye check 29198,Health
රීලෝඩ් salli 31442,Utilities
pharmacy salli 23546,Health
15069 doctor,Health
wade 30277,Food
10111 physio,Health
පින් වලට salli 34488,Gifts & Charity
hospital Rs.11278,Health
කොණ්ඩය කැපුවා salli 10259,Personal Care
car wash 45196,Transport
general 28663,Other
pants Rs.11748,Shopping
water bill salli 25422,Utilities
49590 tire change,Transport
dentist 6715,Health
restaurant salli 9767,Food
reload salli 20228,Utilities
bag Rs.14245,Shopping
lost Rs.24902,Other
13152 gift,Gifts & Charity
bike service salli 14432,Transport
coursera 5382,Education
5072 ඉන්ෂුවරන්ස්,Finance
39245 offer,Gifts & Charity
class fee 25673,Education
47611 clinic,Health
බර්ත්ඩේ 28249,Gifts & Charity
බඩු ගත්තා 12760,Shopping
prepaid 28302,Utilities
unknown 41625,Other
operation Rs.47609,Health
30265 show,Entertainment
48221 alms,Gifts & Charity
wade 40480,Food
class fee salli 44895,Education
spa salli 268,Personal Care
pin 32739,Gifts & Charity
31085 grocery,Shopping
37915 internet,Utilities
32735 transport cost,Transport
29172 donation,Gifts & Charity
තෑගි 29345,Gifts & Charity
ෆිල්ම් 9211,Entertainment
සෙල්ලම් කරන්න salli 32657,Entertainment
breakfast 21210,Food
21099 don't know,Other
phone bill Rs.32019,Utilities
28706 කොණ්ඩය කැපුවා,Personal Care
අතින් ගියා Rs.36078,Other
බඩු ගත්තා Rs.20728,Shopping
course salli 23095,Education
stock salli 42064,Finance
bill Rs.9670,Utilities
coffee 29086,Food
credit card Rs.32988,Finance
43671 internet,Utilities
spent 16871,Other
21868 leasing,Finance
4573 කෝච්චියට,Transport
2432 stock,Finance
12786 දවල් කෑමට,Food
විනෝදෙට salli 42847,Entertainment
සැලෝන් එකට salli 1208,Personal Care
දවල් කෑමට salli 11465,Food
uber 37695,Transport
වතුර බිල 24549,Utilities
postpaid 27756,Utilities
28117 present,Gifts & Charity
course salli 21756,Education
bank fee salli 10895,Finance
university 6731,Education
netflix 500,Entertainment
birthday salli 14061,Gifts & Charity
fare salli 9598,Transport
medicine salli 23566,Health
gaming 13975,Entertainment
parking salli 26595,Transport
lost salli 49366,Other
eye check 13938,Health
birthday Rs.23778,Gifts & Charity
46622 other,Other
46722 පෙට්‍රල්,Transport
ticket Rs.16127,Transport
5078 ලෝන් එකට,Finance
hospital Rs.8223,Health
397 vitamin,Health
ayurvedic Rs.10505,Health
16513 පන්ති ගාස්තු,Education
දානය salli 12207,Gifts & Charity
45534 highway toll,Transport
43394 donation,Gifts & Charity
bus Rs.12192,Transport
pharmacy salli 32705,Health
channeling 25734,Health
27797 මේකප්,Personal Care
මුදල් 27451,Other
sugar salli 25821,Shopping
physio 36952,Health
crypto 42151,Finance
fuel Rs.28750,Transport
prepaid 19983,Utilities
1897 parking,Transport
trip 30826,Entertainment
28256 lost,Other
20044 stock,Finance
46403 pocket money,Other
45803 hair color,Personal Care
19708 stock,Finance
11607 බනිස්,Food
19471 සැලෝන් එකට,Personal Care
barber salli 24841,Personal Care
විභාග ගාස්තු 9498,Education
15275 car wash,Transport
leasing Rs.32444,Finance
hair color 8472,Personal Care
22208 makeup,Personal Care
youtube premium salli 43040,Entertainment
13412 watch,Shopping
vacation Rs.43211,Entertainment
24920 streaming,Entertainment
බඩු ගත්තා salli 47263,Shopping
23425 ඉන්ෂුවරන්ස්,Finance
